id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,city_zone
27934,Nice room with superb city view,120437,Nuttee,Ratchathewi,13.75983,100.54134,Entire home/apt,1905.0,3,65,0.5,2,353,0,Inner Zone
27979,Easy going landlordeasy place,120541,Emy,Bang Na,13.66818,100.61674,Private room,1316.0,1,0,0.0,2,358,0,Middle Zone
28745,modernstyle apartment in Bangkok,123784,Familyroom,Bang Kapi,13.75232,100.62402,Private room,800.0,60,0,0.0,1,365,0,Middle Zone
35780,Spacious one bedroom at The Kris Condo Bldg 3,153730,Sirilak,Din Daeng,13.78823,100.57256,Private room,1286.0,7,2,0.03,1,323,1,Inner Zone
941865,Suite Room 3 at MetroPoint,610315,Kasem,Bang Kapi,13.76872,100.63338,Private room,1905.0,1,0,0.0,3,365,0,Middle Zone
1704776,NEw Pro Bungalow Bkk Centre,2129668,Wimonpak,Bang Kho laen,13.69757,100.5288,Entire home/apt,1000.0,250,19,0.17,41,365,0,Inner Zone
48736,Condo with Chaopraya River View,222005,Athitaya,Rat Burana,13.68556,100.49535,Private room,1558.0,3,1,0.01,1,365,0,Middle Zone
1738669,1 chic bedroom apartment in BKK,7045870,Jiraporn,Chatu Chak,13.82925,100.56737,Entire home/apt,1461.0,1,0,0.0,1,365,0,Inner Zone
1744248,Batcave Pool view near Chatuchak,9181769,Nol,Chatu Chak,13.81693,100.56433,Entire home/apt,1558.0,3,10,0.09,1,365,0,Inner Zone
952677,Standard Room Decor do Hostel,5171292,Somsak,Khlong San,13.7204,100.50757,Private room,700.0,2,4,0.03,10,87,0,Inner Zone
55681,Sathorn Terrace Apartment61,263049,Tor,Bang Rak,13.71934,100.5176,Private room,1150.0,2,27,0.19,7,320,0,Inner Zone
1765918,2BR apt in a cozy neighborhood,9279712,Jing,Phaya Thai,13.77486,100.54272,Entire home/apt,1893.0,15,129,1.17,1,356,1,Inner Zone
55686,Comfy bedroom near River pier BTS Taksin,263049,Tor,Sathon,13.71802,100.51539,Hotel room,1862.0,2,208,1.44,7,361,0,Inner Zone
59221,budget hotel bangkok near subway,284095,Mimi,Din Daeng,13.77941,100.57383,Entire home/apt,910.0,2,3,0.02,2,365,0,Inner Zone
959254,Deluxe Condo Nana PoolGYMSauna,5153476,Natcha,Khlong Toei,13.71516,100.56806,Entire home/apt,1400.0,30,0,0.0,1,365,0,Inner Zone
62217,LuxuryswimpoolFreeWiFinearJJMkt,302658,Srisuk,Phaya Thai,13.79152,100.53982,Private room,4156.0,1,0,0.0,1,365,0,Inner Zone
1791481,Nice and Quiet condo near BTS Onnut,9399478,Piyakorn,Khlong Toei,13.70719,100.59936,Entire home/apt,1577.0,30,78,0.78,1,330,0,Inner Zone
66046,24Flr 1br Apt near JJ MRT BTS,323158,Sue,Chatu Chak,13.82298,100.56484,Entire home/apt,122594.0,2,9,0.09,6,180,0,Inner Zone
105042,Central Bangkok 3 Bedroom Apartment,545890,Henry,Khlong Toei,13.73378,100.56303,Entire home/apt,5680.0,28,148,1.08,1,334,0,Inner Zone
1793000,The Duplex Asoke Luxury 92sqm,9407280,Timo,Vadhana,13.74668,100.56137,Entire home/apt,5034.0,21,287,2.59,1,349,3,Inner Zone
960858,New Stylish Luxury Studio Condo,3769704,Pat,Sai Mai,13.9077,100.64473,Private room,1500.0,1,0,0.0,1,365,0,Middle Zone
113744,River View Ivy Condo 1 Bedroom,578110,Muay,Rat Burana,13.68568,100.49231,Private room,1385.0,30,0,0.0,1,365,0,Middle Zone
965722,Siamese Gioia on Sukhumvit 31,5265861,Chuchart,Vadhana,13.74444,100.57003,Private room,3775.0,30,3,0.05,1,364,0,Inner Zone
1808600,Contemporary Modern DuplexThong Lo,9478184,Shine,Khlong Toei,13.72097,100.57823,Entire home/apt,2078.0,60,83,0.75,1,55,0,Inner Zone
118118,Pan Dao Condo 5 min from BTS On Nut,596463,Dustin,Khlong Toei,13.70441,100.59968,Entire home/apt,1732.0,2,3,0.02,1,364,0,Inner Zone
1816517,1 BR condominium center BKK NETFLIX55SQM,8492603,Sudhichai,Ratchathewi,13.75351,100.53308,Entire home/apt,2000.0,27,76,0.7,1,263,0,Inner Zone
969792,1 penthouse in central Bangkok,5297436,Anya,Ratchathewi,13.7547,100.53268,Entire home/apt,3082.0,1,0,0.0,1,365,0,Inner Zone
121410,MetroPoint Suite Room Near Airport,610315,Kasem,Bang Kapi,13.76747,100.63287,Private room,1190.0,1,0,0.0,3,365,0,Middle Zone
145343,Boutique Rooms Near Bangkok Airport,703944,Parinya,Lat Krabang,13.721868,100.771713,Private room,1329.0,1,28,0.28,1,349,13,Outer Zone
973830,BangLuang House1 Bangkok Thailand,5325919,วสวัตติ์,Bangkok Yai,13.73292,100.46413,Private room,2078.0,1,76,0.64,3,350,0,Inner Zone
156583,Studio near Chula UniversitySilom walk to MRTBTS,58920,Gael,Bang Rak,13.7285,100.52313,Entire home/apt,1176.0,7,63,0.47,2,95,2,Inner Zone
1823321,กรองทองแมนชั่น ลาดพร้าว 81,9545111,Penjit,Wang Thong Lang,13.78938,100.6134,Private room,600.0,1,0,0.0,1,365,0,Middle Zone
159854,Deluxe one Bedroom Condo wPoolGYM Sauna 87,766443,Gerd,Vadhana,13.74293,100.55603,Entire home/apt,1659.0,3,212,1.58,3,207,7,Inner Zone
976690,Beautiful 1 BR apartment BTS Ari,5344120,Nattavut,Phaya Thai,13.77931,100.54262,Entire home/apt,1400.0,15,90,0.77,4,336,2,Inner Zone
978531,Urban Oasis in the heart of Bangkok,5309669,Apiradee,Sathon,13.72291,100.53759,Entire home/apt,5429.0,2,3,0.03,3,174,0,Inner Zone
166267,1Bed apt near Chula UniversitySilom,58920,Gael,Bang Rak,13.72733,100.52555,Entire home/apt,1843.0,7,71,0.54,2,156,5,Inner Zone
169285,Stay at the ROARING RATCHADA,806600,Frances,Huai Khwang,13.78118,100.58349,Private room,1316.0,1,0,0.0,1,365,0,Inner Zone
978969,60 m2 apartment in Thong Lor Bangkok,5358785,Danny,Vadhana,13.73224,100.57803,Entire home/apt,1870.0,4,5,0.05,1,331,0,Inner Zone
1842066,ICONSIAM River view on 49th floor,9626074,Weera,Bang Rak,13.72287,100.51678,Private room,2500.0,180,15,0.14,1,88,0,Inner Zone
169514,2br apt in Sukhumvit Asoke near BTS,729617,Kanchuya,Vadhana,13.74464,100.55784,Entire home/apt,1732.0,90,0,0.0,1,365,0,Inner Zone
1849029,Self catering cozy1bed near BTS,9652914,Jirasak,Vadhana,13.7137,100.59637,Entire home/apt,1300.0,30,7,0.06,1,365,0,Inner Zone
1862089,Perfect EscapeSunny Roof EnSuite,1927968,Evan,Sathon,13.72062,100.54707,Entire home/apt,1200.0,1,419,3.77,37,355,1,Inner Zone
985743,Room with city view of BKK,5309669,Apiradee,Sathon,13.71803,100.54654,Private room,3500.0,3,0,0.0,3,363,0,Inner Zone
988373,BangLuang House 2 Bangkok Thailand,5325919,วสวัตติ์,Phasi Charoen,13.73122,100.46228,Entire home/apt,1795.0,1,95,0.8,3,339,10,Middle Zone
172332,Tranquility found in busy Bangkok near new skytran,822284,Rae And Charlie,Bang Sue,13.83148,100.52102,Entire home/apt,1000.0,3,21,0.17,7,145,0,Inner Zone
1016487,Private room in Bangkok,5594281,Yodying,Chatu Chak,13.82148,100.58326,Private room,350.0,30,0,0.0,1,365,0,Inner Zone
1862331,Roomy Studio 4 Family r friendsNo Stairs,8214044,Evan From Sanctuary House,Sathon,13.72073,100.5469,Entire home/apt,1450.0,1,268,2.59,8,350,7,Inner Zone
1862377,Downtown Central StudioBangkok MRT,8214044,Evan From Sanctuary House,Sathon,13.72063,100.54694,Entire home/apt,1200.0,1,310,3.0,8,331,9,Inner Zone
185364,Beautiful Wood Bangkok Resort House,889670,Narumon,Nong Chok,13.779,100.83671,Entire home/apt,8658.0,1,0,0.0,1,363,0,Outer Zone
1887544,Serviced 2 Bed Scenic SkyVillas,6132593,Salvatore,Sathon,13.72096,100.52911,Entire home/apt,3757.0,2,118,1.07,7,134,12,Inner Zone
1888303,Cozy 1BR rooftop BTS Ploenchit heart of bangkok,9821998,Pichanee,Khlong Toei,13.73782,100.55179,Entire home/apt,1490.0,5,11,0.15,1,16,0,Inner Zone
1019241,Chic two bedroom for Monthly rental,3323622,Phoebe,Bang Rak,13.72687,100.52725,Entire home/apt,2701.0,30,104,0.89,1,0,0,Inner Zone
241416,Sukhumvit52 near SkyTrain to BkkCBD,960892,Vajirune,Phra Khanong,13.70169,100.5977,Private room,2251.0,3,0,0.0,1,365,0,Middle Zone
1026451,Chic Studio Easy Walk to Pier BTS Taksin,3346331,Bee,Sathon,13.71192,100.51535,Entire home/apt,866.0,2,472,4.02,7,320,29,Inner Zone
1028469,One Bedroom Suite WIFI SATHORN,2148220,Marvin,Sathon,13.71602,100.52663,Private room,2696.0,1,0,0.0,3,356,0,Inner Zone
1028486,STUDIO RM2 WIFI SATHORN,2148220,Marvin,Sathon,13.71798,100.52841,Private room,1736.0,1,4,0.04,3,356,0,Inner Zone
1035589,Quiet Double Bed Apartment,4115838,Primrose,Thawi Watthana,13.79274,100.33377,Private room,1800.0,2,1,0.46,3,242,1,Outer Zone
1035640,Quiet Double Bed Apartment,4115838,Primrose,Thawi Watthana,13.79315,100.33356,Private room,1800.0,2,0,0.0,3,256,0,Outer Zone
1897982,Suvarnabhumi free transfer,8362130,Luckana,Lat Krabang,13.72141,100.72946,Entire home/apt,1558.0,1,43,0.39,2,365,0,Outer Zone
296960,LuxuryComfy wthWifi walkdistance to SubwyMalls,175729,Mitch & Mam,Chatu Chak,13.80926,100.56892,Entire home/apt,900.0,358,56,0.43,1,365,0,Inner Zone
1898332,Apr for rent full fur 1 bedroom monthly,4837310,Veesa,Bang Na,13.67805,100.62451,Private room,400.0,180,0,0.0,1,364,0,Middle Zone
1041976,Longstay special rate spacious entire floor Siam,5735895,Pariya,Parthum Wan,13.74814,100.52016,Entire home/apt,2900.0,1125,295,2.61,3,0,0,Inner Zone
313459,One Bed Room at Sukumvit 50 Bangkok,1611711,Nichapat,Khlong Toei,13.71513,100.5683,Private room,2226.0,1,0,0.0,1,364,0,Inner Zone
1052180,City View relaxed theme delicious food around,5793490,Nicky,Bang Kho laen,13.69947,100.52726,Entire home/apt,890.0,2,29,0.27,6,59,4,Inner Zone
1926489,Ideo Blucove Sukhumvit Bangkok,9434109,Sander,Bang Na,13.67998,100.61074,Entire home/apt,1500.0,29,0,0.0,1,365,0,Middle Zone
320014,2BR condo near BTS on Sukhumvit Rd,843854,Anshera,Khlong Toei,13.7281,100.57318,Entire home/apt,1732.0,30,67,0.51,1,167,1,Inner Zone
1933894,NewlyRenovated 3BrSingleHouse ParkBTSAirport,9509219,Piya,Pra Wet,13.70004,100.6787,Entire home/apt,3394.0,5,3,0.03,8,180,2,Middle Zone
1057173,IdeoMix Sukhumvit RD close to BTS,5822937,Piya,Bang Na,13.67991,100.61055,Entire home/apt,922.0,14,170,1.54,1,219,5,Middle Zone
1060320,Mix Dorm Decor do Hostel,5171292,Somsak,Khlong San,13.72214,100.50752,Shared room,350.0,1,12,0.12,10,87,0,Inner Zone
384924,Oasis in the heart of Bangkok,1667508,Siriwipa,Ratchathewi,13.74902,100.55652,Entire home/apt,866.0,90,94,0.75,1,142,1,Inner Zone
1067748,5 mins by car from Chong Nonsi BTS Station,4154759,Mimi,Sathon,13.71498,100.53312,Private room,1543.0,1,40,0.46,4,149,10,Inner Zone
1077493,Inn Saladaeng Superior hotel room,5929404,Inn Saladaeng & The Sathon Vimanda,Bang Rak,13.72825,100.53774,Entire home/apt,1589.0,1,36,0.33,2,176,1,Inner Zone
1943048,Best nr Chatujak MRT BTS free wififNetflix,9906827,Nokiko,Chatu Chak,13.81694,100.56451,Entire home/apt,1271.0,1,293,2.72,1,129,19,Inner Zone
385130,CitycenterSubway stationPrivate Bathroom4Aircon,1927968,Evan,Sathon,13.72062,100.54707,Entire home/apt,800.0,1,396,3.02,37,361,0,Inner Zone
385278,Nice River View Condominium 30 sqm,1928343,Chanvit,Rat Burana,13.68426,100.49841,Private room,1558.0,1,0,0.0,1,365,0,Middle Zone
385979,Monthly rent 2Beds2Baths quiet APT at BTS,1681901,Pornpan,Khlong San,13.71905,100.50414,Entire home/apt,1747.0,30,80,0.62,1,330,0,Inner Zone
390611,Sukhumvit apartment near Nana BTS,807406,Hollis,Khlong Toei,13.74052,100.55237,Entire home/apt,797.0,1,189,1.45,1,230,13,Inner Zone
1947314,A room w the view in the city,10070953,Vichit,Vadhana,13.71012,100.60281,Entire home/apt,6926.0,1,1,0.02,1,364,0,Inner Zone
1079039,Spacious 1Bed apartment,5935474,Tisa,Huai Khwang,13.75224,100.58979,Entire home/apt,1169.0,15,0,0.0,1,180,0,Inner Zone
1086843,Near Bangkok more space than urban,4937984,Sugarcane,Phra Nakhon,13.75135,100.49447,Shared room,5195.0,1,0,0.0,1,365,0,Inner Zone
393066,99 feet in the sky,1927968,Evan,Sathon,13.72062,100.54707,Entire home/apt,829.0,1,430,3.39,37,334,10,Inner Zone
397449,Cozy Studio Apt near Skytrain7274,263049,Tor,Sathon,13.71782,100.51622,Private room,950.0,1,39,0.3,7,301,2,Inner Zone
405662,Asoke tasteful modern 1BR condo,1425515,Peter,Vadhana,13.73816,100.56495,Entire home/apt,1400.0,28,32,0.25,2,120,5,Inner Zone
1088343,2 bed 2 bath BTS Supermarkets Monthly,5981006,Sibyl,Vadhana,13.7104,100.60171,Entire home/apt,2355.0,30,19,0.17,1,356,0,Inner Zone
1094136,Private relaxed with amenities,5793490,Nicky,Bang Kho laen,13.69949,100.52725,Entire home/apt,980.0,2,18,0.18,6,75,1,Inner Zone
1961981,S1 hostel Dorm Sathorn Bangkok,10138065,S1,Sathon,13.72157,100.54509,Shared room,330.0,1,82,0.83,3,358,0,Inner Zone
407381,3 minutes walk to Phrom Phong BTS,1463818,Amporn,Vadhana,13.73675,100.57191,Entire home/apt,3740.0,7,18,0.15,1,44,1,Inner Zone
1975849,1 BDM CONDO SAPHAN KWAIARI walk to JJBTSMRT,8480912,Chris And Lek,Phaya Thai,13.79128,100.54935,Entire home/apt,1000.0,5,29,0.27,1,145,4,Inner Zone
1133843,เฮ้าส์โหมด House Mode,6220137,Prapussorn,Thon buri,13.72646255738608,100.49129336748284,Private room,800.0,1,0,0.0,1,365,0,Inner Zone
413824,100 PrivateCentral Light EnSuite,1927968,Evan,Sathon,13.72062,100.54707,Entire home/apt,800.0,1,325,2.67,37,358,0,Inner Zone
428360,Spacious Studio kitchenwifi,2129668,Wimonpak,Yan na wa,13.69673,100.53202,Entire home/apt,1143.0,200,35,0.27,41,365,0,Inner Zone
428421,2 Bangkok bright Apartment 201,2129668,Wimonpak,Bang Kho laen,13.69935,100.52723,Entire home/apt,700.0,365,40,0.31,41,365,0,Inner Zone
428907,1Bangkok great value Studio WIFI,2129668,Wimonpak,Bang Kho laen,13.69977,100.52652,Entire home/apt,831.0,365,14,0.11,41,270,0,Inner Zone
428950,BKK City Fab Luxx Studio free wifi 1194,2129668,Wimonpak,Bang Kho laen,13.698,100.52886,Entire home/apt,790.0,1,127,1.0,41,365,5,Inner Zone
430691,5 Bangkok Bright Apartment WIFI,2129668,Wimonpak,Bang Kho laen,13.70068,100.5228,Entire home/apt,720.0,365,26,0.23,41,365,0,Inner Zone
430703,6 Bangkok nice cosy Apartment 201,2129668,Wimonpak,Bang Kho laen,13.69925,100.52624,Entire home/apt,890.0,1,48,0.38,41,346,3,Inner Zone
430706,7 Bangkok big bright Apartment 402,2129668,Wimonpak,Bang Kho laen,13.70086,100.52276,Entire home/apt,1211.0,365,8,0.07,41,365,0,Inner Zone
432004,STUDIOWIFIRAIN SHOWERSATHORN,2148220,Marvin,Sathon,13.71922,100.5255,Private room,1736.0,1,14,0.12,3,356,0,Inner Zone
439051,Luxury Riverview Teakwood ApartmentGreat Views,2122791,Maam & Hermann,Yan na wa,13.67317,100.54406,Hotel room,1558.0,2,120,0.93,1,361,0,Inner Zone
1138679,1 Bed Pool Access Onnut BTS,4877320,Nisa,Suanluang,13.71119,100.63334,Entire home/apt,970.0,21,1,0.01,2,272,0,Middle Zone
1976962,River Side Luxury View,10204823,Jahidul,Yan na wa,13.70497,100.55134,Private room,2500.0,1,0,0.0,1,364,0,Inner Zone
449782,BKK Center Fab studio1150 free wifi,2129668,Wimonpak,Bang Kho laen,13.69832,100.52434,Entire home/apt,929.0,1,60,0.47,41,162,1,Inner Zone
449826,Loft by the Church w kitchenwifi near Sathon,2129668,Wimonpak,Bang Kho laen,13.70218,100.52254,Entire home/apt,670.0,2,38,0.31,41,347,0,Inner Zone
450464,9 Bangkok Mini Stylish Studio 205,2129668,Wimonpak,Bang Kho laen,13.70039,100.52806,Entire home/apt,720.0,1,40,0.4,41,359,3,Inner Zone
527553,Beautiful Apt Ratchayothin BTS Free Wifi,2592798,Nokina,Chatu Chak,13.82841,100.57103,Entire home/apt,1004.0,2,24,0.19,2,0,0,Inner Zone
1980886,New and Modern Spacious Apartment,10222460,Preeda,Phra Khanong,13.6937,100.59897,Entire home/apt,1385.0,3,0,0.0,1,364,0,Middle Zone
1982413,Hip Studio Of BKKRiverBTSWIFI,3346331,Bee,Sathon,13.71278,100.5156,Entire home/apt,811.0,2,404,3.67,7,304,19,Inner Zone
1986193,Condo QUATTRO Thonglor Near BTS,10246374,Arika,Vadhana,13.72873,100.58039,Entire home/apt,2000.0,7,6,0.05,3,62,1,Inner Zone
2018775,Big quiet Studio for weekly monthly long term Stay,7454779,Lily Duangdao,Sathon,13.720317,100.54586,Private room,1629.0,4,4,0.7,7,82,4,Inner Zone
2064413,BH Double Room Near BTS,8664261,Kriengkrai,Sathon,13.71659,100.51588,Private room,835.0,1,0,0.0,7,365,0,Inner Zone
2065054,Suite with Balcony,8664261,Kriengkrai,Sathon,13.71655,100.51384,Private room,926.0,1,1,0.02,7,365,0,Inner Zone
2065536,Room Shared Shower Room near BTS,8664261,Kriengkrai,Sathon,13.71496,100.51406,Private room,866.0,1,0,0.0,7,365,0,Inner Zone
